aqi,pm25,pm10,lat,lon,source,age_group,sensitivity,risk
69,26.0,32.0,1.352083,103.819839,Open-Meteo,18-24,high,2
176,8.3,17.0,39.904202,116.407394,Open-Meteo,25-34,medium,3
126,54.7,194.2,28.613939,77.209023,Open-Meteo,45+,medium,2
85,20.0,25.8,13.756331,100.501762,Open-Meteo,45+,low,1
62,10.9,13.2,13.756331,100.501762,Open-Meteo,45+,high,2
40,15.8,24.6,51.169392,71.449074,Open-Meteo,25-34,high,1
70,17.7,22.2,1.352083,103.819839,Open-Meteo,25-34,high,2
39,4.7,8.0,52.520008,13.404954,Open-Meteo,25-34,high,1
173,38.9,231.9,28.613939,77.209023,Open-Meteo,18-24,medium,3
27,10.5,18.9,48.856613,2.352222,Open-Meteo,45+,medium,0
90,48.9,68.7,37.566536,126.977966,Open-Meteo,18-24,medium,1
60,16.9,22.5,1.352083,103.819839,Open-Meteo,45+,medium,1
99,57.6,58.0,19.432608,-99.133209,Open-Meteo,35-44,medium,1
103,19.3,20.1,19.432608,-99.133209,Open-Meteo,25-34,low,2
38,1.6,1.6,40.712776,-74.005974,Open-Meteo,25-34,medium,0
179,44.2,135.0,39.904202,116.407394,Open-Meteo,35-44,high,3
385,44.6,166.2,28.613939,77.209023,Open-Meteo,35-44,medium,3
34,5.3,6.1,49.806755,73.085449,Open-Meteo,45+,high,1
128,56.1,299.0,28.613939,77.209023,Open-Meteo,18-24,low,2
18,3.0,4.4,40.416775,-3.70379,Open-Meteo,45+,medium,0
54,18.5,23.8,1.352083,103.819839,Open-Meteo,18-24,low,1
79,14.8,15.0,19.432608,-99.133209,Open-Meteo,35-44,medium,1
38,17.8,19.6,49.806755,73.085449,Open-Meteo,45+,medium,0
51,6.6,7.5,48.856613,2.352222,Open-Meteo,25-34,high,2
154,89.2,121.1,37.566536,126.977966,Open-Meteo,18-24,high,3
47,8.7,8.9,40.712776,-74.005974,Open-Meteo,25-34,low,0
40,5.4,10.3,51.507351,-0.127758,Open-Meteo,25-34,high,1
42,4.6,8.6,52.520008,13.404954,Open-Meteo,25-34,medium,0
65,8.4,9.3,49.806755,73.085449,Open-Meteo,18-24,medium,1
43,11.8,11.9,40.712776,-74.005974,Open-Meteo,25-34,medium,0
37,6.1,6.5,40.712776,-74.005974,Open-Meteo,25-34,medium,0
38,1.8,1.8,49.806755,73.085449,Open-Meteo,35-44,high,1
47,5.1,6.9,41.902782,12.496366,Open-Meteo,35-44,high,1
30,2.8,5.1,40.416775,-3.70379,Open-Meteo,25-34,high,1
42,8.2,12.1,52.520008,13.404954,Open-Meteo,45+,low,0
60,24.0,27.9,13.756331,100.501762,Open-Meteo,45+,medium,1
58,14.8,18.7,13.756331,100.501762,Open-Meteo,25-34,high,2
75,19.7,19.8,-23.55052,-46.633308,Open-Meteo,18-24,high,2
165,121.1,133.2,39.904202,116.407394,Open-Meteo,25-34,high,3
49,13.7,15.5,-33.86882,151.20929,Open-Meteo,35-44,medium,0
167,35.5,41.9,13.756331,100.501762,Open-Meteo,45+,high,3
41,6.4,6.7,40.712776,-74.005974,Open-Meteo,45+,high,1
87,51.2,73.8,37.566536,126.977966,Open-Meteo,45+,low,1
54,8.1,11.1,-33.86882,151.20929,Open-Meteo,45+,low,1
23,8.7,10.2,52.520008,13.404954,Open-Meteo,18-24,medium,0
39,20.3,27.9,48.856613,2.352222,Open-Meteo,25-34,low,0
50,20.8,22.1,-33.86882,151.20929,Open-Meteo,45+,medium,1
71,13.8,18.2,34.052235,-118.243683,Open-Meteo,25-34,medium,1
65,8.5,10.4,34.052235,-118.243683,Open-Meteo,45+,low,1
157,46.7,69.4,39.904202,116.407394,Open-Meteo,18-24,low,3
87,23.2,66.1,25.204849,55.270782,Open-Meteo,45+,medium,1
55,16.2,17.2,-33.86882,151.20929,Open-Meteo,25-34,medium,1
41,10.7,20.4,49.806755,73.085449,Open-Meteo,35-44,medium,0
52,16.0,18.5,48.856613,2.352222,Open-Meteo,18-24,high,2
34,2.8,3.9,41.902782,12.496366,Open-Meteo,25-34,low,0
145,39.8,123.9,25.204849,55.270782,Open-Meteo,45+,low,2
101,51.6,98.5,25.204849,55.270782,Open-Meteo,35-44,low,2
142,20.5,20.8,-23.55052,-46.633308,Open-Meteo,35-44,medium,2
56,29.3,32.1,52.229676,21.012229,Open-Meteo,45+,high,2
83,16.4,23.7,43.238949,76.889709,Open-Meteo,18-24,medium,1
81,32.6,104.1,43.238949,76.889709,Open-Meteo,18-24,medium,1
91,18.0,18.3,19.432608,-99.133209,Open-Meteo,45+,high,2
44,2.9,3.0,40.712776,-74.005974,Open-Meteo,45+,medium,0
103,48.2,48.4,19.432608,-99.133209,Open-Meteo,45+,high,3
82,14.0,28.8,41.00824,28.978359,Open-Meteo,35-44,low,1
107,20.9,42.9,30.04442,31.235712,Open-Meteo,18-24,medium,2
51,13.2,16.5,48.856613,2.352222,Open-Meteo,25-34,medium,1
34,5.6,11.7,51.507351,-0.127758,Open-Meteo,25-34,low,0
58,27.1,28.6,35.676193,139.650311,Open-Meteo,45+,low,1
48,7.4,9.9,41.902782,12.496366,Open-Meteo,25-34,high,1
29,6.9,8.2,49.806755,73.085449,Open-Meteo,35-44,medium,0
78,29.6,42.6,13.756331,100.501762,Open-Meteo,25-34,high,2
82,28.7,48.1,41.00824,28.978359,Open-Meteo,35-44,high,2
81,29.6,37.1,43.238949,76.889709,Open-Meteo,45+,low,1
38,14.2,16.5,-33.86882,151.20929,Open-Meteo,35-44,low,0
55,13.0,18.5,42.341685,69.590103,Open-Meteo,25-34,low,1
51,8.9,12.5,52.229676,21.012229,Open-Meteo,25-34,low,1
39,19.7,20.7,40.712776,-74.005974,Open-Meteo,45+,low,0
28,6.7,9.7,52.520008,13.404954,Open-Meteo,25-34,high,1
97,10.0,10.0,-23.55052,-46.633308,Open-Meteo,25-34,medium,1
47,11.4,15.5,41.902782,12.496366,Open-Meteo,25-34,medium,0
74,19.7,24.0,34.052235,-118.243683,Open-Meteo,45+,high,2
83,34.2,34.7,19.432608,-99.133209,Open-Meteo,25-34,low,1
53,20.4,20.6,19.432608,-99.133209,Open-Meteo,18-24,high,2
46,8.7,10.8,52.229676,21.012229,Open-Meteo,18-24,high,1
160,145.8,183.9,31.230391,121.473701,Open-Meteo,18-24,low,3
48,17.7,17.8,19.432608,-99.133209,Open-Meteo,45+,low,0
81,23.2,26.4,13.756331,100.501762,Open-Meteo,45+,medium,1
81,20.5,33.3,39.904202,116.407394,Open-Meteo,45+,high,2
78,30.0,42.7,13.756331,100.501762,Open-Meteo,35-44,medium,1
63,20.8,41.9,34.052235,-118.243683,Open-Meteo,25-34,high,2
179,71.0,154.6,39.904202,116.407394,Open-Meteo,45+,low,3
60,16.4,21.6,1.352083,103.819839,Open-Meteo,35-44,low,1
179,94.3,421.9,28.613939,77.209023,Open-Meteo,35-44,low,3
112,25.8,77.5,25.204849,55.270782,Open-Meteo,18-24,low,2
148,68.7,94.5,31.230391,121.473701,Open-Meteo,45+,medium,2
27,10.9,14.0,40.416775,-3.70379,Open-Meteo,18-24,medium,0
85,20.6,31.6,41.00824,28.978359,Open-Meteo,35-44,medium,1
108,43.2,120.3,30.04442,31.235712,Open-Meteo,25-34,high,3
64,24.8,44.9,43.238949,76.889709,Open-Meteo,45+,high,2
29,6.8,10.3,-33.86882,151.20929,Open-Meteo,25-34,high,1
41,7.5,12.5,51.507351,-0.127758,Open-Meteo,25-34,medium,0
128,51.1,208.6,39.904202,116.407394,Open-Meteo,25-34,medium,2
76,14.5,14.5,-23.55052,-46.633308,Open-Meteo,18-24,medium,1
52,6.4,7.0,35.676193,139.650311,Open-Meteo,18-24,medium,1
80,34.5,35.3,19.432608,-99.133209,Open-Meteo,25-34,medium,1
64,10.5,11.2,49.806755,73.085449,Open-Meteo,45+,medium,1
101,46.6,51.8,37.566536,126.977966,Open-Meteo,45+,low,2
70,21.7,23.3,35.676193,139.650311,Open-Meteo,35-44,low,1
77,21.2,23.5,13.756331,100.501762,Open-Meteo,25-34,medium,1
24,4.8,7.4,40.416775,-3.70379,Open-Meteo,45+,high,1
85,46.7,125.7,30.04442,31.235712,Open-Meteo,35-44,low,1
75,21.6,22.1,-23.55052,-46.633308,Open-Meteo,25-34,medium,1
51,7.7,10.0,51.169392,71.449074,Open-Meteo,45+,medium,1
155,56.6,91.0,39.904202,116.407394,Open-Meteo,25-34,low,3
89,46.3,46.6,-23.55052,-46.633308,Open-Meteo,35-44,medium,1
88,20.8,38.8,43.238949,76.889709,Open-Meteo,18-24,medium,1
60,21.8,24.6,13.756331,100.501762,Open-Meteo,18-24,medium,1
77,13.0,16.9,41.00824,28.978359,Open-Meteo,25-34,medium,1
107,64.9,156.9,30.04442,31.235712,Open-Meteo,45+,low,2
51,17.8,19.6,42.341685,69.590103,Open-Meteo,35-44,medium,1
82,15.5,26.4,43.238949,76.889709,Open-Meteo,18-24,high,2
27,4.2,5.8,52.520008,13.404954,Open-Meteo,18-24,medium,0
73,9.9,14.2,43.238949,76.889709,Open-Meteo,25-34,low,1
54,21.5,23.3,34.052235,-118.243683,Open-Meteo,35-44,high,2
88,21.4,22.2,19.432608,-99.133209,Open-Meteo,35-44,low,1
110,20.4,41.4,39.904202,116.407394,Open-Meteo,35-44,low,2
51,12.4,15.0,13.756331,100.501762,Open-Meteo,18-24,low,1
163,75.7,87.1,37.566536,126.977966,Open-Meteo,18-24,high,3
50,19.1,20.7,-33.86882,151.20929,Open-Meteo,35-44,high,2
194,190.5,210.9,31.230391,121.473701,Open-Meteo,35-44,low,3
104,24.9,44.3,30.04442,31.235712,Open-Meteo,18-24,high,3
87,20.3,57.4,25.204849,55.270782,Open-Meteo,35-44,high,2
60,15.3,21.4,41.00824,28.978359,Open-Meteo,18-24,medium,1
32,3.4,6.0,52.520008,13.404954,Open-Meteo,45+,high,1
64,11.8,29.7,34.052235,-118.243683,Open-Meteo,25-34,medium,1
35,5.5,6.8,41.902782,12.496366,Open-Meteo,25-34,low,0
127,58.6,277.5,28.613939,77.209023,Open-Meteo,35-44,medium,2
136,36.9,137.8,28.613939,77.209023,Open-Meteo,18-24,medium,2
48,7.4,8.2,42.341685,69.590103,Open-Meteo,45+,high,1
71,19.1,24.7,41.00824,28.978359,Open-Meteo,25-34,low,1
89,25.9,66.6,43.238949,76.889709,Open-Meteo,25-34,low,1
47,12.3,15.9,-33.86882,151.20929,Open-Meteo,25-34,medium,0
138,53.0,86.4,25.204849,55.270782,Open-Meteo,18-24,low,2
86,29.7,108.1,30.04442,31.235712,Open-Meteo,35-44,medium,1
66,6.8,6.9,-23.55052,-46.633308,Open-Meteo,45+,high,2
152,76.1,86.4,31.230391,121.473701,Open-Meteo,18-24,low,3
39,9.6,15.4,52.520008,13.404954,Open-Meteo,45+,medium,0
155,110.1,144.8,31.230391,121.473701,Open-Meteo,45+,low,3
38,4.1,9.3,51.507351,-0.127758,Open-Meteo,18-24,low,0
54,28.4,40.3,52.229676,21.012229,Open-Meteo,45+,low,1
47,11.5,13.0,42.341685,69.590103,Open-Meteo,45+,low,0
65,8.9,10.3,49.806755,73.085449,Open-Meteo,25-34,high,2
90,37.7,109.7,43.238949,76.889709,Open-Meteo,45+,medium,1
56,9.0,9.7,34.052235,-118.243683,Open-Meteo,45+,high,2
81,17.1,21.1,13.756331,100.501762,Open-Meteo,25-34,medium,1
38,9.8,13.3,52.520008,13.404954,Open-Meteo,18-24,medium,0
90,17.0,17.1,34.052235,-118.243683,Open-Meteo,45+,medium,1
124,28.9,109.2,28.613939,77.209023,Open-Meteo,45+,low,2
26,2.7,4.5,40.416775,-3.70379,Open-Meteo,35-44,low,0
30,7.3,9.7,48.856613,2.352222,Open-Meteo,45+,low,0
36,6.3,7.4,51.169392,71.449074,Open-Meteo,18-24,low,0
41,17.6,25.3,51.169392,71.449074,Open-Meteo,45+,low,0
90,38.9,79.6,25.204849,55.270782,Open-Meteo,45+,medium,1
121,18.7,27.8,37.566536,126.977966,Open-Meteo,18-24,low,2
73,18.7,22.4,41.00824,28.978359,Open-Meteo,35-44,low,1
62,39.9,40.7,35.676193,139.650311,Open-Meteo,45+,low,1
49,18.0,19.6,42.341685,69.590103,Open-Meteo,18-24,medium,0
58,12.5,15.7,42.341685,69.590103,Open-Meteo,35-44,high,2
70,20.7,21.0,-23.55052,-46.633308,Open-Meteo,25-34,low,1
37,5.0,5.3,40.712776,-74.005974,Open-Meteo,35-44,low,0
59,16.5,17.8,1.352083,103.819839,Open-Meteo,45+,high,2
153,95.7,597.9,28.613939,77.209023,Open-Meteo,18-24,high,3
59,15.8,19.3,13.756331,100.501762,Open-Meteo,45+,medium,1
45,2.1,2.2,51.169392,71.449074,Open-Meteo,25-34,medium,0
52,5.8,5.8,-23.55052,-46.633308,Open-Meteo,18-24,low,1
61,18.7,23.0,1.352083,103.819839,Open-Meteo,35-44,medium,1
59,27.1,27.9,35.676193,139.650311,Open-Meteo,25-34,high,2
29,6.4,8.8,49.806755,73.085449,Open-Meteo,18-24,high,1
119,14.7,20.3,37.566536,126.977966,Open-Meteo,25-34,low,2
51,11.6,16.4,52.229676,21.012229,Open-Meteo,18-24,medium,1
82,46.3,48.7,37.566536,126.977966,Open-Meteo,45+,high,2
144,54.1,94.1,25.204849,55.270782,Open-Meteo,18-24,low,2
119,67.3,101.5,25.204849,55.270782,Open-Meteo,45+,medium,2
62,16.1,21.8,52.229676,21.012229,Open-Meteo,25-34,medium,1
46,5.0,5.7,49.806755,73.085449,Open-Meteo,18-24,medium,0
93,14.5,15.0,19.432608,-99.133209,Open-Meteo,35-44,high,2
105,33.6,155.2,30.04442,31.235712,Open-Meteo,35-44,medium,2
36,6.8,10.2,-33.86882,151.20929,Open-Meteo,35-44,low,0
35,8.0,10.6,40.416775,-3.70379,Open-Meteo,18-24,high,1
59,17.8,20.7,1.352083,103.819839,Open-Meteo,35-44,high,2
32,7.2,10.2,49.806755,73.085449,Open-Meteo,45+,medium,0
58,15.8,19.7,13.756331,100.501762,Open-Meteo,18-24,high,2
78,21.9,22.2,-23.55052,-46.633308,Open-Meteo,35-44,high,2
65,5.3,5.3,-23.55052,-46.633308,Open-Meteo,45+,medium,1
149,41.9,95.7,28.613939,77.209023,Open-Meteo,45+,medium,2
30,5.4,13.8,52.520008,13.404954,Open-Meteo,45+,high,1
37,5.2,6.8,52.520008,13.404954,Open-Meteo,45+,medium,0
87,41.6,43.4,34.052235,-118.243683,Open-Meteo,45+,medium,1
48,7.6,10.7,41.902782,12.496366,Open-Meteo,45+,low,0
151,47.4,169.0,28.613939,77.209023,Open-Meteo,45+,low,3
39,11.3,14.1,51.507351,-0.127758,Open-Meteo,25-34,high,1
98,50.5,63.5,41.00824,28.978359,Open-Meteo,18-24,medium,1
53,20.2,23.8,48.856613,2.352222,Open-Meteo,45+,high,2
41,4.8,6.4,40.416775,-3.70379,Open-Meteo,35-44,high,1
75,17.2,28.4,30.04442,31.235712,Open-Meteo,25-34,high,2
50,14.7,21.2,51.169392,71.449074,Open-Meteo,25-34,low,1
151,41.0,109.7,28.613939,77.209023,Open-Meteo,35-44,low,3
89,50.2,58.9,39.904202,116.407394,Open-Meteo,45+,low,1
60,13.0,13.7,1.352083,103.819839,Open-Meteo,35-44,medium,1
159,20.0,22.2,39.904202,116.407394,Open-Meteo,45+,medium,3
134,28.2,148.1,28.613939,77.209023,Open-Meteo,45+,high,3
34,5.5,12.4,51.507351,-0.127758,Open-Meteo,45+,low,0
18,2.9,4.4,40.416775,-3.70379,Open-Meteo,25-34,low,0
83,13.6,24.2,43.238949,76.889709,Open-Meteo,25-34,medium,1
59,10.0,10.7,34.052235,-118.243683,Open-Meteo,35-44,high,2
88,16.7,23.0,52.229676,21.012229,Open-Meteo,45+,medium,1
78,31.4,38.4,13.756331,100.501762,Open-Meteo,25-34,high,2
75,25.3,44.2,43.238949,76.889709,Open-Meteo,25-34,high,2
54,23.3,29.3,1.352083,103.819839,Open-Meteo,25-34,medium,1
43,5.6,11.9,51.507351,-0.127758,Open-Meteo,25-34,high,1
58,14.9,32.3,30.04442,31.235712,Open-Meteo,45+,low,1
74,24.7,24.8,-23.55052,-46.633308,Open-Meteo,25-34,low,1
94,23.8,99.6,30.04442,31.235712,Open-Meteo,25-34,low,1
55,15.9,20.5,1.352083,103.819839,Open-Meteo,25-34,medium,1
34,3.4,4.7,40.416775,-3.70379,Open-Meteo,18-24,low,0
82,36.1,71.5,30.04442,31.235712,Open-Meteo,45+,low,1
77,18.3,29.1,30.04442,31.235712,Open-Meteo,45+,high,2
54,16.1,16.1,35.676193,139.650311,Open-Meteo,45+,high,2
85,38.2,65.7,25.204849,55.270782,Open-Meteo,18-24,low,1
151,54.7,153.2,28.613939,77.209023,Open-Meteo,45+,medium,3
36,7.1,11.7,48.856613,2.352222,Open-Meteo,35-44,low,0
45,6.1,6.5,35.676193,139.650311,Open-Meteo,25-34,medium,0
80,23.6,24.4,19.432608,-99.133209,Open-Meteo,35-44,high,2
37,13.9,17.4,51.507351,-0.127758,Open-Meteo,35-44,high,1
66,17.3,17.3,-23.55052,-46.633308,Open-Meteo,45+,high,2
71,23.7,24.3,-23.55052,-46.633308,Open-Meteo,35-44,medium,1
99,28.5,33.4,41.00824,28.978359,Open-Meteo,45+,high,2
42,16.6,18.7,-33.86882,151.20929,Open-Meteo,25-34,low,0
41,5.9,6.0,51.169392,71.449074,Open-Meteo,45+,medium,0
34,4.2,4.9,41.902782,12.496366,Open-Meteo,25-34,medium,0
39,6.2,6.3,40.712776,-74.005974,Open-Meteo,45+,low,0
92,42.6,42.8,19.432608,-99.133209,Open-Meteo,45+,medium,1
53,11.6,16.0,-33.86882,151.20929,Open-Meteo,45+,medium,1
142,157.9,1076.6,28.613939,77.209023,Open-Meteo,35-44,high,3
39,2.6,2.6,49.806755,73.085449,Open-Meteo,45+,high,1
26,4.3,8.2,51.507351,-0.127758,Open-Meteo,25-34,medium,0
52,19.6,22.1,42.341685,69.590103,Open-Meteo,45+,high,2
144,17.2,20.9,39.904202,116.407394,Open-Meteo,35-44,high,3
73,15.6,20.1,41.00824,28.978359,Open-Meteo,18-24,medium,1
107,43.7,146.8,30.04442,31.235712,Open-Meteo,45+,medium,2
46,19.7,20.0,40.712776,-74.005974,Open-Meteo,35-44,high,1
37,3.2,4.5,40.416775,-3.70379,Open-Meteo,18-24,medium,0
96,40.6,124.8,25.204849,55.270782,Open-Meteo,45+,low,1
31,10.0,14.1,51.507351,-0.127758,Open-Meteo,18-24,medium,0
150,45.6,164.8,28.613939,77.209023,Open-Meteo,35-44,low,3
58,19.4,21.7,13.756331,100.501762,Open-Meteo,25-34,high,2
59,21.1,24.0,1.352083,103.819839,Open-Meteo,18-24,high,2
142,63.9,264.4,30.04442,31.235712,Open-Meteo,18-24,medium,2
31,10.2,13.7,41.902782,12.496366,Open-Meteo,45+,low,0
151,68.2,81.3,31.230391,121.473701,Open-Meteo,25-34,low,3
26,4.4,7.3,40.416775,-3.70379,Open-Meteo,18-24,high,1
49,17.8,19.7,-33.86882,151.20929,Open-Meteo,35-44,high,1
33,4.0,5.4,40.416775,-3.70379,Open-Meteo,18-24,high,1
115,31.5,147.6,39.904202,116.407394,Open-Meteo,18-24,medium,2
119,79.9,80.8,31.230391,121.473701,Open-Meteo,35-44,low,2
58,12.8,16.8,48.856613,2.352222,Open-Meteo,25-34,high,2
95,22.9,92.0,25.204849,55.270782,Open-Meteo,45+,medium,1
56,14.1,21.9,52.229676,21.012229,Open-Meteo,45+,low,1
81,20.5,23.9,13.756331,100.501762,Open-Meteo,35-44,medium,1
69,15.4,21.2,52.229676,21.012229,Open-Meteo,35-44,low,1
86,13.1,15.8,13.756331,100.501762,Open-Meteo,35-44,low,1
69,13.4,18.2,1.352083,103.819839,Open-Meteo,18-24,high,2
37,6.1,9.2,-33.86882,151.20929,Open-Meteo,18-24,medium,0
114,24.4,42.0,25.204849,55.270782,Open-Meteo,18-24,low,2
70,19.4,24.4,1.352083,103.819839,Open-Meteo,18-24,medium,1
46,13.3,18.7,41.902782,12.496366,Open-Meteo,35-44,low,0
58,14.4,17.5,13.756331,100.501762,Open-Meteo,18-24,medium,1
31,4.1,8.5,48.856613,2.352222,Open-Meteo,35-44,medium,0
33,8.8,15.0,51.507351,-0.127758,Open-Meteo,35-44,low,0
54,6.7,18.5,42.341685,69.590103,Open-Meteo,45+,high,2
56,23.1,30.0,51.169392,71.449074,Open-Meteo,25-34,low,1
46,7.6,9.5,-33.86882,151.20929,Open-Meteo,35-44,high,1
70,19.6,21.6,35.676193,139.650311,Open-Meteo,35-44,high,2
70,16.3,20.7,1.352083,103.819839,Open-Meteo,45+,low,1
37,4.4,4.8,49.806755,73.085449,Open-Meteo,18-24,medium,0
116,24.4,43.3,25.204849,55.270782,Open-Meteo,25-34,medium,2
132,65.7,226.8,28.613939,77.209023,Open-Meteo,35-44,medium,2
76,13.2,16.5,41.00824,28.978359,Open-Meteo,25-34,high,2
64,14.7,27.6,43.238949,76.889709,Open-Meteo,35-44,high,2
41,7.6,9.6,49.806755,73.085449,Open-Meteo,45+,low,0
52,9.2,17.7,42.341685,69.590103,Open-Meteo,25-34,medium,1
153,46.4,50.2,31.230391,121.473701,Open-Meteo,45+,low,3
72,33.1,38.8,52.229676,21.012229,Open-Meteo,35-44,high,2
51,11.8,14.3,42.341685,69.590103,Open-Meteo,18-24,low,1
107,38.5,47.1,37.566536,126.977966,Open-Meteo,35-44,low,2
33,9.2,13.4,52.520008,13.404954,Open-Meteo,45+,medium,0
67,9.8,12.0,35.676193,139.650311,Open-Meteo,18-24,medium,1
48,9.4,9.6,40.712776,-74.005974,Open-Meteo,18-24,medium,0
56,15.6,19.7,48.856613,2.352222,Open-Meteo,35-44,low,1
52,25.6,26.5,-33.86882,151.20929,Open-Meteo,35-44,high,2
35,12.9,18.6,48.856613,2.352222,Open-Meteo,35-44,low,0
105,26.0,84.5,25.204849,55.270782,Open-Meteo,45+,medium,2
76,18.4,27.0,30.04442,31.235712,Open-Meteo,45+,medium,1
53,14.1,20.8,41.902782,12.496366,Open-Meteo,45+,high,2
36,6.4,11.2,52.520008,13.404954,Open-Meteo,45+,high,1
58,15.1,18.7,13.756331,100.501762,Open-Meteo,18-24,high,2
30,2.3,4.1,49.806755,73.085449,Open-Meteo,45+,medium,0
